iter	Passed	Remaining
0	4	4581
1	8	4258
2	12	4308
3	16	4171
4	20	4049
5	24	4012
6	28	4053
7	32	4025
8	35	3941
9	39	3893
10	42	3840
11	46	3844
12	50	3814
13	54	3829
14	57	3808
15	61	3812
16	65	3813
17	69	3774
18	72	3758
19	77	3789
20	81	3789
21	84	3771
22	88	3748
23	92	3742
24	95	3735
25	99	3726
26	103	3712
27	107	3723
28	111	3743
29	115	3736
30	119	3736
31	123	3741
32	127	3749
33	132	3762
34	136	3754
35	140	3762
36	144	3750
37	147	3735
38	151	3726
39	155	3728
40	159	3726
41	162	3716
42	166	3700
43	169	3692
44	174	3709
45	177	3686
46	180	3669
47	184	3652
48	188	3650
49	191	3633
50	194	3620
51	197	3605
52	201	3600
53	204	3591
54	208	3578
55	211	3569
56	215	3562
57	219	3567
58	223	3568
59	227	3565
60	231	3558
61	235	3565
62	239	3559
63	242	3548
64	246	3539
65	249	3529
66	253	3527
67	256	3519
68	260	3511
69	264	3514
70	269	3524
71	272	3517
72	276	3510
73	279	3502
74	283	3501
75	287	3490
76	290	3483
77	293	3472
78	297	3464
79	301	3464
80	304	3453
81	307	3447
82	311	3437
83	314	3429
84	318	3423
85	321	3413
86	324	3407
87	328	3402
88	332	3401
89	335	3394
90	339	3391
91	342	3383
92	346	3381
93	350	3377
94	353	3369
95	357	3362
96	361	3364
97	365	3366
98	369	3364
99	372	3355
100	376	3349
101	380	3345
102	384	3351
103	388	3349
104	393	3356
105	397	3355
106	401	3352
107	405	3349
108	409	3345
109	413	3347
110	418	3348
111	422	3346
112	426	3348
113	430	3349
114	434	3343
115	438	3339
116	442	3341
117	447	3346
118	453	3355
119	457	3354
120	462	3361
121	467	3361
122	471	3360
123	475	3360
124	480	3361
125	483	3355
126	487	3351
127	493	3362
128	498	3363
129	501	3358
130	505	3353
131	509	3350
132	513	3345
133	517	3346
134	522	3345
135	526	3344
136	530	3341
137	535	3343
138	540	3350
139	545	3347
140	548	3343
141	553	3345
142	558	3345
143	562	3346
144	566	3341
145	570	3339
146	575	3339
147	580	3339
148	583	3333
149	588	3332
150	592	3328
151	596	3326
152	600	3326
153	605	3329
154	610	3326
155	614	3324
156	618	3322
157	622	3319
158	626	3313
159	630	3310
160	635	3309
161	639	3308
162	642	3301
163	647	3300
164	652	3300
165	655	3295
166	659	3290
167	663	3285
168	667	3281
169	670	3275
170	674	3270
171	678	3264
172	681	3260
173	691	3283
174	697	3287
175	702	3289
176	707	3291
177	713	3294
178	717	3292
179	721	3286
180	725	3284
181	730	3284
182	735	3281
183	738	3276
184	742	3272
185	746	3266
186	750	3261
187	753	3254
188	758	3253
189	762	3249
190	765	3242
191	769	3237
192	772	3231
193	776	3224
194	780	3220
195	783	3215
196	787	3210
197	791	3204
198	794	3198
199	798	3192
200	801	3185
201	804	3178
202	807	3171
203	812	3168
204	816	3167
205	820	3164
206	824	3160
207	829	3156
208	832	3150
209	835	3143
210	838	3136
211	843	3134
212	846	3128
213	850	3124
214	854	3119
215	858	3115
216	861	3109
217	866	3107
218	870	3102
219	874	3099
220	878	3096
221	882	3094
222	886	3090
223	891	3087
224	895	3083
225	898	3076
226	901	3070
227	905	3064
228	909	3063
229	914	3060
230	918	3057
231	921	3051
232	925	3046
233	929	3041
234	932	3036
235	936	3032
236	941	3032
237	945	3027
238	950	3025
239	956	3027
240	960	3025
241	964	3020
242	967	3015
243	972	3012
244	976	3009
245	980	3006
246	984	3000
247	988	2997
248	991	2991
249	995	2987
